Place,Car Num,Team,Penalty,Cost Score,Presentation Score,Design Score,Acceleration Score,Skid Pad Score,Autocross Score,Endurance Score,Efficiency Score,Total Score,Adjusted Cost,Average Adjusted Laptime,Fuel Efficiency Factor,Best Acceleration Time,Best Autocross Time,Endurance Time,Endurance Penalty,Adjusted Endurance Time,Endurance Time Score,Endurance Laps,Endurance Laps Score,Best Skidpad Time,Engine Cylinders,Engine Displacement (cc),Weight (kg),Best Time
<=30,5.0,Texas A & M Univ - College Station_2025,,78.5,66.4,113.0,>80,>=55,>90,>150,38.7,811.3,16242.0,133.234,0.493,4.324,51.357,1300.335,,1332.335,227.6,10.0,25.0,5.202,4.0,600.0,203.2,
>90,122.0,Trinity Univ_2025,-20.0,31.9,48.6,10.0,,,,,,70.5,10972.0,,,,,,,,,,,,4.0,600.0,323.9,
>90,109.0,UP Aguascalientes_2025,,56.6,10.9,15.0,,,,,,82.4,24026.0,,,,,,,,,,,,4.0,600.0,299.8,
<=90,70.0,US Naval Academy_2025,,27.3,14.2,60.0,>=50,<25,>=40,<15,,258.5,24955.0,,,4.777,58.236,,,,,,,,2.0,500.0,210.0,
<=30,48.0,Univ of Alabama Tuscaloosa_2025,,59.6,59.4,116.0,>80,>=55,>90,>150,39.5,744.8,,,,,,,,,,,,,,,,
<=90,100.0,Univ of Arizona_2025,,59.1,51.0,40.0,<50,<25,<40,<15,,176.6,16501.0,,,8.901,75.377,,,,,,,6.884,4.0,600.0,225.0,
<=60,24.0,Univ of British Columbia_2025,,73.5,19.1,100.0,>=50,>=25,>=40,>=15,,354.1,26175.0,,,4.81,60.116,,,,,,,,4.0,599.0,214.1,
<=30,3.0,Univ of Calif - Berkeley_2025,,80.3,59.5,100.0,>=50,>=55,>90,>=75,64.7,664.9,19249.0,155.195,0.629,4.862,53.170,1427.945,120.0,1551.945,116.8,10.0,25.0,5.208,1.0,450.0,167.8,
<=90,35.0,Univ of Calif - Irvine_2025,,40.9,18.5,60.0,,>=25,>=65,<15,,227.6,19532.0,,,,,,,,,,,5.602,4.0,600.0,239.0,
<=90,39.0,Univ of Central Florida_2025,,53.8,14.3,80.0,,,>=65,,,215.2,22778.0,,,,57.602,,,,,,,,4.0,636.0,215.5,
<=60,60.0,Univ of Cincinnati_2025,,50.5,34.7,80.0,>=65,>=25,>90,<15,42.3,432.1,16988.0,158.041,0.512,4.504,53.686,,,,,,,5.545,2.0,689.0,222.3,
<=60,103.0,Univ of Colorado Boulder_2025,,67.1,42.0,80.0,>=65,>=25,>=40,>=75,55.1,547.5,,,,,,,,,,,,,,,,
<=30,4.0,Univ of Connecticut_2025,,66.8,69.0,100.0,>80,>=55,>90,>=15,34.1,552.7,21015.0,133.325,0.468,4.32,51.052,,,,,,,5.159,4.0,600.0,221.4,
<=90,86.0,Univ of Delaware_2025,,38.1,17.0,40.0,>=50,<25,<40,>=15,11.6,246.6,22215.0,184.989,0.35,4.879,65.827,1769.894,,1849.894,8.5,10.0,25.0,5.946,4.0,636.0,226.8,
<=60,59.0,Univ of Georgia_2025,,62.5,64.4,80.0,>=50,<25,>=65,>=75,20.8,496.2,14099.0,163.456,0.398,4.799,56.247,1602.557,,1634.557,82.8,10.0,25.0,5.906,4.0,600.0,220.9,
<=60,107.0,Univ of Hartford_2025,,40.0,18.9,60.0,>=50,>=25,>=40,>=75,48.1,405.2,22987.0,169.766,0.542,4.923,58.801,1617.658,,1697.658,59.1,10.0,25.0,5.642,1.0,450.0,176.4,
<=90,53.0,Univ of Houston Houston_2025,,58.3,41.2,40.0,,,,,,139.4,,,,,,,,,,,,,,,,
