Place,Car Num,Team,Penalty,Cost Score,Presentation Score,Design Score,Acceleration Score,Skid Pad Score,Autocross Score,Endurance Score,Efficiency Score,Total Score,Adjusted Cost,Price Score (30),Cost Accuracy (15),Engineering Drawings (15),Scenario Score (40),Average Adjusted Laptime,Laps Completed,Fuel Used(ltr),Adjusted CO2(kg),Average Adjusted CO2 per Lap,Fuel Type,Fuel Efficiency Factor,Best Acceleration Time,Best Autocross Time,Endurance Time,Endurance Laps,Off Course,Endurance Penalty,Adjusted Endurance Time,Endurance Time Score,Endurance Laps Score,Best Skidpad Time,Engine Cylinders,Engine Displacement (cc),Weight (kg)
<=50,23.0,Colorado School of Mines,,62.5,38.2,80.0,<50,>=40,>=90,>=150,46.2,535.0,22618.0,12.5,10.0,14.0,26.0,151.178,10.0,5.402,8.913,0.8913,E85,0.532,7.833,53.136,1487.777,10.0,1.0,,1511.777,134.6,25.0,5.44,4.0,599.0,202.8
<=75,44.0,Colorado State University,,54.7,19.1,60.0,>=80,>=40,>=70,>=10,,341.9,26097.0,7.7,10.0,11.0,26.0,,,,,,,,4.468,57.076,,,,,,,,5.512,4.0,600.0,221.8
<=25,34.0,Duke Univ,,75.8,71.3,80.0,>=70,>=30,>=80,>=175,48.9,669.1,20317.0,15.8,8.0,14.0,38.0,142.99,10.0,3.974,9.179,0.9179,100,0.546,4.562,54.670,1423.899,10.0,,,1429.899,174.2,25.0,5.7,2.0,689.0,205.0
<=25,32.0,Embry-Riddle Aero Univ - Daytona Beach,,31.9,68.9,80.0,>90,>=40,>=80,>=200,32.3,649.2,30554.0,1.4,13.0,11.0,6.5,142.535,10.0,4.743,10.956,1.0956,100,0.459,4.169,54.508,1403.346,10.0,1.0,,1425.346,176.5,25.0,5.45,4.0,600.0,206.8
<=75,79.0,Florida Atlantic Univ,,54.1,18.8,60.0,>=50,>=15,<50,>=25,,272.4,18631.0,,,,,,,,,,,,5.02,62.407,2033.968,10.0,4.0,30.0,2217.968,-,25.0,5.958,4.0,610.0,207.7
<=100,57.0,Florida International Univ,,62.3,16.5,35.0,>=60,<15,<50,>=10,,218.9,16391.0,,,,,,,,,,,,4.829,66.042,,,,,,,,7.018,2.0,650.0,222.3
<=5,38.0,Georgia Institute of Technology,,83.1,43.8,100.0,>=80,>=40,>100,>250,51.7,804.7,18342.0,18.5,13.0,13.0,38.5,129.53,10.0,4.269,9.861,0.9861,93,0.561,4.471,49.231,1289.297,10.0,,,1295.297,250.0,25.0,5.463,4.0,600.0,213.2
>100,113.0,Grand Canyon University,,18.9,16.1,30.0,,,,,,65.0,19530.0,,,,,,,,,,,,,,,,,,,,,,1.0,690.0,257.2
<=75,64.0,Grand Valley State Univ,,65.5,19.1,60.0,>=60,>=15,<50,>=25,,292.2,26886.0,6.5,10.0,12.0,37.0,,,,,,,,4.805,62.438,1841.841,10.0,2.0,,1883.841,-,25.0,,4.0,600.0,254.9
>100,126.0,ITESM - Campus Cuernavaca,,15.5,10.0,10.0,,,,,,35.5,18392.0,18.5,2.0,5.0,-10.0,,,,,,,,,,,,,,,,,,4.0,636.0,324.8
<=25,7.0,Instituto Maua de Tecnologia,,88.8,54.3,129.0,>=80,>=50,>=80,>=100,52.0,646.2,16758.0,20.8,15.0,15.0,38.0,164.521,10.0,4.696,7.748,0.7748,E85,0.562,4.429,54.963,1511.211,10.0,1.0,114.0,1645.211,78.7,25.0,,3.0,675.0,191.9
>100,134.0,Instituto Tecnologico de Estudios Superi,,14.0,5.0,20.0,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,4.0,600.0,
<=5,10.0,Kansas State Univ,,66.8,70.6,100.0,>=70,>=50,>100,>250,48.7,778.7,20978.0,14.8,11.0,8.0,33.0,132.54,10.0,6.012,9.919,0.9919,E85,0.545,4.56,52.019,1325.399,10.0,,,1325.399,231.7,25.0,5.306,3.0,675.0,210.5
<=75,119.0,Kennesaw State University,,93.8,15.9,80.0,<50,>=50,>=60,>=10,,361.7,11767.0,27.8,13.0,13.0,40.0,,,,,,,,5.054,58.888,,,,,,,,5.431,4.0,600.0,205.5
<=100,27.0,Kettering Univ,,63.1,11.9,60.0,,,,,,134.9,17972.0,19.1,14.0,5.0,25.0,,,,,,,,,,,,,,,,,,1.0,449.0,170.1
<=100,33.0,Lakehead Univ,,47.0,45.9,40.0,,,,,,132.9,18733.0,,,,,,,,,,,,,,,,,,,,,,1.0,693.0,250.4
<=75,69.0,Lawrence Technological Univ,,62.3,19.6,40.0,>=50,>=40,>=50,,,276.6,15641.0,,,,,,,,,,,,4.994,59.791,,,,,,,,5.485,2.0,689.0,244.0
<=50,31.0,Lehigh Univ,,67.5,17.6,60.0,>=50,>=15,>=70,>=150,100.0,558.0,15858.0,22.0,8.0,13.0,24.5,152.43,10.0,3.496,5.768,0.5768,E85,0.815,4.963,56.070,1520.303,10.0,,,1524.303,129.0,25.0,5.801,1.0,450.0,168.7
<=50,118.0,Liberty Univ,,83.2,14.1,60.0,>=70,>=15,>=70,>=125,41.9,521.6,15719.0,22.2,14.0,13.0,34.0,153.964,10.0,3.957,9.14,0.914,93,0.509,4.554,55.716,1525.635,10.0,,,1539.635,122.2,25.0,,4.0,600.0,222.3
<=50,93.0,Michigan Tech Univ,,76.4,14.2,100.0,>=80,>=40,>=70,>=10,,412.8,16281.0,21.4,13.0,14.0,28.0,,,,,,,,4.34,56.818,,,,,,,,5.437,2.0,500.0,205.0
<=50,45.0,Minnesota State University - Mankato,,78.9,43.1,80.0,>=70,>=40,>=70,>=100,24.3,549.1,15591.0,22.4,14.5,13.0,29.0,160.15,10.0,4.187,9.671,1.0746,93,0.417,4.518,55.772,1573.495,10.0,1.0,,1601.495,96.0,25.0,5.494,4.0,600.0,216.8
<=75,75.0,Mississippi State Univ,,77.4,66.9,75.0,<50,>=15,>=90,<25,,383.8,20610.0,15.4,15.0,15.0,32.0,,,,,,,,5.055,53.548,,,,,,,,6.057,1.0,450.0,182.3
<=100,78.0,Missouri State University,,56.3,32.8,40.0,,,,,,129.1,18486.0,,,,,,,,,,,,,,,,,,,,,,1.0,450.0,168.3
