Place,Car Num,Team,Penalty,Cost Score,Presentation Score,Design Score,Acceleration Score,Skid Pad Score,Autocross Score,Endurance Score,Efficiency Score,Total Score,Adjusted Cost,Average Adjusted Laptime,Fuel Efficiency Factor,Best Time,Best Autocross Time,Endurance Time,Endurance Penalty,Adjusted Endurance Time,Endurance Time Score,Endurance Laps,Endurance Laps Score,Best Skidpad Time,Engine Cylinders,Engine Displacement (cc),Weight (kg)
<=75,92.0,Clarkson University_2024,,43.5,31.4,60.0,>=50,<15,<50,<25,,218.8,30133.0,,,5.041,63.473,186.006,,,-,1.0,2.0,6.465,4.0,600.0,214.1
<=75,53.0,Clemson Univ_2024,,75.3,50.4,100.0,,>=30,>=60,,,329.1,22640.0,,,,55.520,,,,,,,5.748,4.0,635.0,196.0
<=75,34.0,Colorado Mesa University_2024,,50.0,27.6,50.0,,,,>=125,66.1,331.9,18083.0,168.123,0.61,,,1637.232,,1681.232,113.3,10.0,25.0,,2.0,650.0,210.5
<=75,32.0,Colorado School of Mines_2024,,39.4,45.8,80.0,<50,>=30,<50,>=50,45.1,352.6,20676.0,189.057,0.503,6.718,61.475,1722.569,,1890.569,39.2,10.0,25.0,5.726,4.0,600.0,212.7
<=100,36.0,Colorado State University_2024,,62.9,28.7,45.0,,<15,<50,<25,,150.9,26153.0,,,,73.800,486.795,,,-,2.0,4.0,6.466,4.0,600.0,227.7
<=100,74.0,Drexel Univ_2024,-10.0,66.6,29.9,40.0,,,,,,126.6,22355.0,,,,,,,,,,,,1.0,450.0,170.6
<=50,63.0,Duke Univ_2024,,76.1,68.0,80.0,>=50,>=40,>=70,,,398.4,20215.0,,,4.987,54.197,0.0,,,-,0.0,0.0,5.613,2.0,690.0,215.0
<=50,106.0,Embry-Riddle Aero Univ - Daytona Beach_2024,,59.7,68.5,40.0,>90,>=40,>=70,>=25,23.6,452.9,26291.0,194.314,0.394,4.275,54.462,1641.135,120.0,1943.135,23.1,10.0,25.0,5.613,4.0,600.0,214.5
<=75,17.0,Florida Atlantic Univ_2024,,39.2,45.1,55.0,>=50,<15,<50,>=10,,268.8,17201.0,204.326,,4.893,59.106,1720.931,,,-,9.0,20.0,7.687,4.0,610.0,206.8
<=100,111.0,Florida International Univ_2024,,68.8,41.0,75.0,,,,,,184.8,18192.0,,,,,,,,,,,,2.0,650.0,263.5
<=75,7.0,Georgia Institute of Technology_2024,,78.6,75.0,100.0,,>=60,,,,315.5,20578.0,,,,,,,,,,,5.360,4.0,600.0,210.9
<=25,65.0,Hope College_2024,,57.3,43.6,75.0,>=70,>=40,>=90,>=200,53.0,666.1,16383.0,147.881,0.544,4.663,51.397,1474.81,,1478.81,204.8,10.0,25.0,5.645,4.0,600.0,221.4
<=10,145.0,Instituto Maua de Tecnologia_2024,,83.7,35.1,150.0,>=80,>=40,>=70,>=150,56.2,710.3,18333.0,160.049,0.56,4.364,54.159,1580.488,,1600.488,147,10.0,25.0,5.543,3.0,675.0,200.5
>100,54.0,Instituto Tecnologico de Chihuahua_2024,,,15.5,10.0,,,,,,25.5,,,,,,,,,,,,,4.0,600.0,235.4
<=10,23.0,Kansas State Univ_2024,,64.5,60.0,100.0,>=80,>=60,>=60,>=175,39.2,666.9,23516.0,157.577,0.473,4.370,54.835,1499.765,,1575.765,158,10.0,25.0,5.373,3.0,675.0,208.2
<=25,18.0,Kennesaw State University_2024,,87.0,72.8,80.0,>=80,>=50,<50,>=150,27.9,620.7,11531.0,162.112,0.416,4.456,58.406,1545.116,,1621.116,138.1,10.0,25.0,5.444,4.0,600.0,200.9
<=100,100.0,Kettering Univ_2024,,53.2,28.1,80.0,,,,<25,,165.3,14301.0,,,,,339.945,,,-,2.0,4.0,,1.0,450.0,177.8
<=75,108.0,Lawrence Technological Univ_2024,,48.1,29.8,40.0,>=70,>=30,<50,>=50,4.8,340.1,28233.0,188.684,0.297,4.694,58.622,1770.844,,1886.844,40.4,10.0,25.0,5.833,4.0,600.0,247.2
<=75,114.0,Lehigh Univ_2024,,77.1,36.1,60.0,<50,<15,<50,>=25,,251.6,14755.0,212.042,,5.367,69.257,1902.416,,2120.416,-,10.0,25.0,6.343,1.0,450.0,175.1
<=75,31.0,Liberty Univ_2024,,78.6,51.5,80.0,,,,,,210.1,19115.0,,,,,,,,,,,,4.0,600.0,213.6
<=75,110.0,Michigan Tech Univ_2024,,70.2,49.5,80.0,<50,>=30,>=50,,,329.8,18630.0,,,5.453,57.307,,,,,,,5.711,2.0,500.0,236.8
<=25,101.0,Minnesota State University - Mankato_2024,,65.5,50.3,100.0,>=80,>=30,>=60,>=125,37.7,572,14081.0,169.86,0.465,4.399,56.246,1654.603,,1698.603,106.4,10.0,25.0,5.742,4.0,600.0,210.0
<=25,91.0,Mississippi State Univ_2024,,70.2,48.9,80.0,>=70,>=50,>=60,>=125,100.0,621,16496.0,170.894,0.784,4.637,55.065,1674.943,,1708.943,102.4,10.0,25.0,5.498,1.0,450.0,189.6
<=75,102.0,Missouri University of Science and Tech_2024,,57.9,30.7,80.0,>=70,>=50,<50,<25,,349.4,14530.0,,,4.612,59.512,485.558,,,-,3.0,6.0,5.450,4.0,635.0,216.8
<=50,38.0,North Carolina State Univ - Raleigh_2024,,72.2,37.4,147.0,>90,>=50,>=90,>=10,,504.2,19385.0,,,4.308,51.472,737.814,,,-,5.0,12.0,5.523,4.0,675.0,192.3
<=100,125.0,Northern Arizona Univ_2024,,30.6,50.8,15.0,,,,>=25,,121.4,19093.0,226.447,,,,2092.469,,2264.469,-,10.0,25.0,,4.0,600.0,244.9
>100,130.0,Northern Illinois Univ_2024,,,40.0,10.0,,,,,,50,,,,,,,,,,,,,4.0,600.0,226.8
<=25,57.0,Oakland University_2024,,84.5,42.9,100.0,>=60,>=60,>=50,>=175,47.3,648.9,16237.0,159.051,0.514,4.705,56.728,1568.508,,1590.508,151.4,10.0,25.0,5.258,4.0,600.0,231.3
<=50,21.0,Oklahoma State Univ_2024,,51.1,44.2,60.0,>=70,>=50,>=60,>=25,37.4,421.6,16528.0,197.935,0.464,4.613,56.377,1919.354,,1979.354,12.5,10.0,25.0,5.451,4.0,635.0,238.6
<=100,120.0,Oregon Inst of Tech_2024,,56.3,38.0,60.0,<50,>=15,<50,<25,,197.6,17136.0,,,6.604,81.880,873.347,,,-,3.0,6.0,5.962,4.0,600.0,220.4
<=100,117.0,Pellissippi State Community College_2024,,64.4,51.3,20.0,,,,,,135.6,14897.0,,,,,,,,,,,,1.0,690.0,204.6
>100,103.0,Penn State Univ - Harrisburg_2024,,41.8,38.0,20.0,,,,,,99.8,24772.0,,,,,,,,,,,,4.0,600.0,230.4
<=100,19.0,Purdue Univ - Northwest_2024,,68.9,42.5,60.0,,,,,,171.4,18132.0,,,,,,,,,,,,4.0,600.0,200.5
<=10,8.0,Purdue Univ - W Lafayette_2024,,72.2,65.9,100.0,>=70,>=60,>=70,>=175,32.5,684.1,25994.0,156.948,0.439,4.597,53.655,1569.48,,1569.48,160.9,10.0,25.0,5.180,4.0,635.0,218.2
<=100,33.0,Rose Hulman Inst of Tech_2024,,75.3,33.2,60.0,,,<50,,,202.6,20073.0,,,,61.555,0.0,,,-,0.0,0.0,,1.0,480.0,174.6
<=50,22.0,Sacramento State Univ_2024,,66.5,29.3,60.0,>=60,>=40,<50,>=100,12.2,426.5,18077.0,176.123,0.335,4.816,59.672,1659.227,,1761.227,82.9,10.0,25.0,5.645,4.0,635.0,210.9
