Place,,Car Num,,,Team,,,,,,,Time R,,,,Time L,,,,,Cones,,AdjTime,,,,Time R,,,,,Time L,,,,,Cones,,AdjTime,,,Time R,,,,,Time L,,,Cones,,AdjTime,,,Time R,,,,Time L,,,Cones,AdjTime,,,Best Time,,,Penalty,,,Score
73 T,,136,,,Texas Tech Univ,,,,,,,,,,,,,,,,,,DNF,,,,7.366,,,,,6.246,,,,,,,6.806,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,6.806,,,,,,3.5
73 T,,107,,,Florida Atlantic Univ,,,,,,,6.947,,,,6.527,,,,,1,,6.862,,,,,,,,,,,,,,,,DNF,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,6.862,,,,,,3.5
73 T,,93,,,Wichita State Univ,,,,,,,8.187,,,,7.587,,,,,,,7.887,,,,7.477,,,,,6.294,,,,,1,,7.01,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,7.01,,,,,,3.5
73 T,,102,,,Univ of North Texas,,,,,,,6.883,,,,,,,,,1,,DNF,,,,7.574,,,,,7.153,,,,,,,7.363,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,7.363,,,,,,3.5
73 T,,91,,,Tennessee Tech Univ,,,,,,,9.786,,,,8.026,,,,,2,,9.156,,,,,,,,,,,,,,,,DNF,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,9.156,,,,,,3.5
,,12,,,Purdue Univ - Northwest,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,15,,,Lehigh Univ,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,24,,,Colorado State University,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,25,,,Kettering Univ,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,38,,,Univ of Michigan - Dearborn,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,39,,,Univ of Central Florida,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,40,,,Univ of Calif - Irvine,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,41,,,Univ of British Columbia,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,46,,,Washington Univ - St Louis,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,47,,,Liberty Univ,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,52,,,Univ of Manitoba,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,59,,,Bradley Univ,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,62,,,Saint Louis University,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,64,,,Univ of Saskatchewan,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,65,,,Lakehead Univ,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,66,,,South Dakota State Univ,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,67,,,UP Aguascalientes,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,68,,,Univ of Alberta,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,69,,,Universite de Sherbrooke,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,70,,,Queen's Univ,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,75,,,Florida International Univ,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,79,,,Universidad Panamericana Sede Guadalajar,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,84,,,Univ of Arizona,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,90,,,Sacramento State Univ,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,98,,,Univ of Nebraska - Lincoln,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,100,,,Alabama A & M Univ,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,104,,,Polytechnic Univ of Puerto Rico,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,109,,,Univ of Minnesota - Duluth,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
